x,V,Evac,Ec,Ev,phin,phip,n,p,ND,NA,anion,cation,ntb,nti,mun,mup,G_ehp,Gfree,Rdir,BulkSRHn,BulkSRHp,IntSRHn,IntSRHp,Jn,Jp,Jint,lid,Vext,left_L,left_eps_r,left_E_c,left_E_v,left_N_c,left_mu_n,left_mu_p,left_N_t_int,left_C_n_int,left_C_p_int,left_E_t_int,right_L,right_eps_r,right_E_c,right_E_v,right_N_c,right_mu_n,right_mu_p,right_N_t_int,right_C_n_int,right_C_p_int,right_E_t_int
2.48823e-08,-0.00443194,0.229432,-3.67057,-5.30057,-4.04494,-4.97724,8.8467e+17,6.5878e+18,0,0,1.15062e+22,1.7832e+18,1.18391e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,5.82802e+19,3.89967e+25,3.89966e+25,4.08916e+23,4.10223e+27,-202.385,-0.190366,-202.575,2,0.7,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.224111,0.449111,-1.75089,-4.75089,-3.81389,-4.75001,5.70918e-10,9.65821e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.551405,0,0,0.213598,5.18554e+26,1.10755,-203.683,-202.575,3,0.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.22,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-201.665,2.34564e-12,-201.665,1,0.71,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,-0.00788892,0.227889,-3.67211,-5.30211,-4.04522,-4.98038,9.29801e+17,7.01526e+18,0,0,1.10814e+22,2.38591e+18,1.17029e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,6.52279e+19,4.10494e+25,4.10494e+25,4.31583e+23,4.36839e+27,-201.48,-0.184849,-201.665,2,0.71,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.219138,0.439138,-1.76086,-4.76086,-3.822,-4.76001,6.14224e-10,9.66861e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.593869,0,0,0.2298,5.57863e+26,1.10762,-202.772,-201.665,3,0.71,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.215,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-200.696,2.41219e-12,-200.696,1,0.72,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,-0.0113327,0.226333,-3.67367,-5.30367,-4.04549,-4.9836,9.78168e+17,7.49161e+18,0,0,1.0651e+22,3.18383e+18,1.15489e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,7.32806e+19,4.326e+25,4.326e+25,4.56974e+23,4.665e+27,-200.518,-0.178702,-200.696,2,0.72,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.214166,0.429166,-1.77083,-4.77083,-3.83002,-4.77001,6.63107e-10,9.67919e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.641834,0,0,0.248088,6.02233e+26,1.1077,-201.804,-200.696,3,0.72,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.21,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-199.667,2.46355e-12,-199.667,1,0.73,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,-0.0147615,0.224762,-3.67524,-5.30524,-4.04574,-4.98692,1.03008e+18,8.02465e+18,0,0,1.02148e+22,4.23615e+18,1.13762e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,8.26606e+19,4.5645e+25,4.5645e+25,4.85513e+23,4.99688e+27,-199.495,-0.171826,-199.667,2,0.73,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
