L1_L,L1_E_c,L1_E_v,L1_N_D,L1_N_A,L2_L,L2_E_c,L2_E_v,L2_N_D,L2_N_A,L3_L,L3_E_c,L3_E_v,L3_N_D,L3_N_A,MPP,IntSRHn_mean,simulation_id,extraction_timestamp
2.0000000000000004e-08,4.0,5.9,1e+21,1e+19,2.1e-07,3.7,5.6,3.162277660168379e+16,3.162277660168379e+16,3.162277660168379e-08,3.0,5.2,1e+19,4.9999999999999993e+20,144.6930112032,4.4341546606268604e+30,sim_4792,2025-09-23T16:36:47.260966
2.0000000000000004e-08,4.0,5.9,7.071067811865475e+20,2.2360679774997897e+19,2.7999999999999997e-07,3.8,5.4,1e+16,1e+17,3.162277660168379e-08,3.2,5.2,1e+19,4.9999999999999993e+20,189.33323841414997,2.7100782380669704e+30,sim_4793,2025-09-23T16:36:47.402957
3.162277660168379e-08,3.9,5.8,7.071067811865475e+20,2.2360679774997897e+19,3.5e-07,3.6,5.5,1e+17,3.162277660168379e+16,3.162277660168379e-08,3.0,5.2,1e+19,1e+21,117.885595067875,7.273982958120983e+27,sim_4794,2025-09-23T16:36:47.545782
2.0000000000000004e-08,4.0,6.0,7.071067811865475e+20,4.999999999999999e+19,3.5e-07,3.8,5.6,1e+16,1e+17,4.999999999999999e-08,3.0,5.2,1e+19,1e+21,157.9969419984,7.237214956266895e+31,sim_4795,2025-09-23T16:36:47.689723
2.0000000000000004e-08,3.9,5.8,4.9999999999999993e+20,4.999999999999999e+19,2.7999999999999997e-07,3.7,5.6,1e+17,1e+17,4.999999999999999e-08,3.2,5.2,1e+19,4.9999999999999993e+20,114.48946627699999,7.740035534103662e+27,sim_4796,2025-09-23T16:36:47.830052
3.162277660168379e-08,4.0,6.0,7.071067811865475e+20,1e+19,2.1e-07,3.7,5.5,1e+17,1e+16,2.0000000000000004e-08,2.8,5.2,2.2360679774997897e+19,7.071067811865475e+20,151.0469668644,1.202059478947641e+30,sim_4797,2025-09-23T16:36:47.976837
3.162277660168379e-08,4.0,5.9,4.9999999999999993e+20,1e+19,2.1e-07,3.8,5.4,1e+17,1e+17,3.162277660168379e-08,3.0,5.2,1e+19,4.9999999999999993e+20,218.5680423559,1.148440573768709e+32,sim_4798,2025-09-23T16:36:48.136341
2.0000000000000004e-08,3.8,5.9,7.071067811865475e+20,1e+19,2.1e-07,3.8,5.5,1e+17,1e+16,4.999999999999999e-08,2.8,5.2,4.999999999999999e+19,7.071067811865475e+20,200.9679065904,2.119587516146443e+28,sim_4799,2025-09-23T16:36:48.287315
4.999999999999999e-08,3.8,5.8,4.9999999999999993e+20,2.2360679774997897e+19,3.5e-07,3.6,5.4,1e+17,1e+16,3.162277660168379e-08,3.0,5.2,4.999999999999999e+19,4.9999999999999993e+20,28.357305619,3.127976394757477e+27,sim_4800,2025-09-23T16:36:48.465426
4.999999999999999e-08,3.9,6.0,1e+21,2.2360679774997897e+19,3.5e-07,3.7,5.4,1e+16,3.162277660168379e+16,4.999999999999999e-08,3.0,5.2,1e+19,1e+21,188.32223618625,8.342975686970102e+27,sim_4801,2025-09-23T16:36:48.671286
2.0000000000000004e-08,4.0,5.8,7.071067811865475e+20,1e+19,2.1e-07,3.6,5.4,1e+16,3.162277660168379e+16,4.999999999999999e-08,3.0,5.2,4.999999999999999e+19,7.071067811865475e+20,299.67274431839996,8.120554199132358e+30,sim_4802,2025-09-23T16:36:48.834493
3.162277660168379e-08,3.8,6.0,4.9999999999999993e+20,1e+19,2.7999999999999997e-07,3.6,5.4,1e+17,1e+17,2.0000000000000004e-08,2.8,5.2,4.999999999999999e+19,1e+21,15.28458816675,3.4041690684771e+27,sim_4803,2025-09-23T16:36:49.048443
3.162277660168379e-08,3.8,6.0,1e+21,1e+19,2.7999999999999997e-07,3.6,5.4,1e+17,3.162277660168379e+16,3.162277660168379e-08,3.2,5.2,4.999999999999999e+19,1e+21,17.594287819625002,3.4710191617772656e+27,sim_4804,2025-09-23T16:36:49.264090
2.0000000000000004e-08,3.8,5.8,1e+21,2.2360679774997897e+19,3.5e-07,3.7,5.4,1e+16,3.162277660168379e+16,3.162277660168379e-08,2.8,5.2,1e+19,1e+21,81.031429468875,2.795308698313798e+27,sim_4805,2025-09-23T16:36:49.425998
4.999999999999999e-08,3.9,6.0,1e+21,1e+19,3.5e-07,3.8,5.5,1e+16,1e+17,2.0000000000000004e-08,3.0,5.2,1e+19,4.9999999999999993e+20,287.14575347749997,9.917226268616962e+27,sim_4806,2025-09-23T16:36:49.597331
2.0000000000000004e-08,4.0,5.9,1e+21,4.999999999999999e+19,2.1e-07,3.6,5.4,1e+16,1e+16,4.999999999999999e-08,2.8,5.2,4.999999999999999e+19,7.071067811865475e+20,299.63006335679995,1.5627403214134309e+31,sim_4807,2025-09-23T16:36:49.766418
3.162277660168379e-08,3.9,5.9,4.9999999999999993e+20,1e+19,3.5e-07,3.6,5.5,3.162277660168379e+16,1e+16,2.0000000000000004e-08,3.2,5.2,4.999999999999999e+19,4.9999999999999993e+20,116.4149724275,7.113490567204357e+27,sim_4808,2025-09-23T16:36:49.959300
2.0000000000000004e-08,3.8,6.0,1e+21,1e+19,2.7999999999999997e-07,3.7,5.6,1e+16,1e+17,4.999999999999999e-08,3.2,5.2,1e+19,4.9999999999999993e+20,40.43116055825,3.515795420719752e+27,sim_4809,2025-09-23T16:36:50.170617
2.0000000000000004e-08,4.0,6.0,7.071067811865475e+20,2.2360679774997897e+19,3.5e-07,3.8,5.5,1e+17,1e+17,4.999999999999999e-08,2.8,5.2,2.2360679774997897e+19,1e+21,160.19512633320002,6.39248729919552e+31,sim_4810,2025-09-23T16:36:50.381878
3.162277660168379e-08,4.0,5.8,1e+21,4.999999999999999e+19,2.7999999999999997e-07,3.6,5.4,1e+17,1e+17,3.162277660168379e-08,3.0,5.2,1e+19,7.071067811865475e+20,191.07272164065,5.63348032752481e+31,sim_4811,2025-09-23T16:36:50.590986
4.999999999999999e-08,3.9,6.0,1e+21,2.2360679774997897e+19,2.1e-07,3.7,5.5,1e+17,3.162277660168379e+16,4.999999999999999e-08,2.8,5.2,2.2360679774997897e+19,4.9999999999999993e+20,106.55669666050001,1.0618285426123666e+28,sim_4812,2025-09-23T16:36:50.751296
4.999999999999999e-08,3.8,5.8,1e+21,2.2360679774997897e+19,2.7999999999999997e-07,3.8,5.4,3.162277660168379e+16,3.162277660168379e+16,4.999999999999999e-08,2.8,5.2,1e+19,1e+21,603.86416358125,1.1253144672187754e+28,sim_4813,2025-09-23T16:36:50.963791
4.999999999999999e-08,3.9,6.0,7.071067811865475e+20,2.2360679774997897e+19,3.5e-07,3.8,5.5,1e+16,1e+16,4.999999999999999e-08,2.8,5.2,4.999999999999999e+19,1e+21,264.3714757775,9.592850307588002e+27,sim_4814,2025-09-23T16:36:51.177967
4.999999999999999e-08,3.9,6.0,7.071067811865475e+20,2.2360679774997897e+19,2.1e-07,3.6,5.5,1e+16,1e+17,3.162277660168379e-08,3.0,5.2,4.999999999999999e+19,7.071067811865475e+20,101.820697374375,1.0990148702796242e+28,sim_4815,2025-09-23T16:36:51.388888
