x,V,Evac,Ec,Ev,phin,phip,n,p,ND,NA,anion,cation,ntb,nti,mun,mup,G_ehp,Gfree,Rdir,BulkSRHn,BulkSRHp,IntSRHn,IntSRHp,Jn,Jp,Jint,lid,Vext,left_L,left_eps_r,left_E_c,left_E_v,left_N_c,left_mu_n,left_mu_p,left_N_t_int,left_C_n_int,left_C_p_int,left_E_t_int,right_L,right_eps_r,right_E_c,right_E_v,right_N_c,right_mu_n,right_mu_p,right_N_t_int,right_C_n_int,right_C_p_int,right_E_t_int
5.24966e-07,-0.457999,0.917999,-1.282,-4.282,-3.3912,-4.28001,9.2735e-11,9.24492e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.0857328,0,0,0.0346949,8.43815e+25,1.10933,-219.021,-217.912,3,0.23,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.45,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-217.684,1.73361e-13,-217.684,1,0.25,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.152364,0.297636,-3.60236,-5.23236,-4.01348,-4.8692,2.08446e+17,1.3748e+18,0,0,2.79631e+22,1.44919e+12,1.31658e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,2.86571e+18,9.05012e+24,9.05013e+24,2.31022e+23,8.55198e+26,-217.426,-0.257776,-217.684,2,0.25,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.448044,0.898044,-1.30196,-4.30196,-3.40989,-4.30001,9.7458e-11,9.26134e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.0902592,0,0,0.036462,8.86727e+25,1.10925,-218.793,-217.684,3,0.25,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.44,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-217.441,1.96664e-13,-217.441,1,0.27,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.145505,0.294495,-3.60551,-5.23551,-4.01583,-4.87349,2.15113e+17,1.43842e+18,0,0,2.72779e+22,2.73473e+12,1.30093e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,3.09423e+18,9.35642e+24,9.35643e+24,2.25615e+23,8.94863e+26,-217.184,-0.256954,-217.441,2,0.27,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.438089,0.878089,-1.32191,-4.32191,-3.42855,-4.32001,1.02548e-10,9.27781e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.0951422,0,0,0.0383663,9.32971e+25,1.10918,-218.55,-217.441,3,0.27,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.43,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-217.183,2.23099e-13,-217.183,1,0.29,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.138634,0.291366,-3.60863,-5.23863,-4.01808,-4.8778,2.22607e+17,1.50681e+18,0,0,2.65911e+22,5.15917e+12,1.28718e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,3.35426e+18,9.69767e+24,9.69768e+24,2.20899e+23,9.37493e+26,-216.927,-0.25607,-217.183,2,0.29,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.428134,0.858134,-1.34187,-4.34187,-3.44718,-4.34001,1.08044e-10,9.29433e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.10042,0,0,0.0404226,9.82903e+25,1.1091,-218.292,-217.183,3,0.29,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.42,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-216.908,2.52372e-13,-216.908,1,0.31,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.131749,0.288251,-3.61175,-5.24175,-4.02026,-4.88213,2.31028e+17,1.5805e+18,0,0,2.59018e+22,9.73004e+12,1.27532e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,3.65139e+18,1.00782e+25,1.00782e+25,2.16912e+23,9.83424e+26,-216.653,-0.255118,-216.908,2,0.31,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.41818,0.83818,-1.36182,-4.36182,-3.46577,-4.36001,1.13994e-10,9.31091e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.106139,0,0,0.0426485,1.03695e+26,1.10902,-218.017,-216.908,3,0.31,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.41,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-216.615,2.85837e-13,-216.615,1,0.33,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.124852,0.285148,-3.61485,-5.24485,-4.02234,-4.88648,2.40484e+17,1.66006e+18,0,0,2.52103e+22,1.83439e+13,1.26534e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,3.99218e+18,1.05027e+25,1.05027e+25,2.13692e+23,1.03301e+27,-216.361,-0.254089,-216.615,2,0.33,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.408225,0.818225,-1.38177,-4.38177,-3.48433,-4.38001,1.20448e-10,9.32756e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.112348,0,0,0.045063,1.09558e+26,1.10893,-217.724,-216.615,3,0.33,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.4,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-216.301,3.23724e-13,-216.301,1,0.35,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.117941,0.282059,-3.61794,-5.24794,-4.02433,-4.89085,2.511e+17,1.74616e+18,0,0,2.45166e+22,3.45686e+13,1.25722e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,4.38461e+18,1.09765e+25,1.09766e+25,2.11269e+23,1.08667e+27,-216.048,-0.252975,-216.301,2,0.35,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.398271,0.798271,-1.40173,-4.40173,-3.50284,-4.40001,1.27467e-10,9.34427e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.119109,0,0,0.0476892,1.15934e+26,1.10884,-217.41,-216.301,3,0.35,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.39,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-215.965,3.66171e-13,-215.965,1,0.37,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
